OBSID,CHAPNUM,inaudible_pct
1142,3,0.08333333333333333
1142,5,0.043478260869565216
33,1,0.0
33,7,0.1
128,1,0.047619047619047616
128,4,0.047619047619047616
30,3,0.07142857142857142
30,7,0.07692307692307693
130,1,0.0
130,5,0.0
130,6,0.0
585,6,0.0625
585,7,0.058823529411764705
4599,1,0.0
4599,2,0.0
4599,3,0.0
4599,4,0.0
4599,6,0.07142857142857142
4599,7,0.07692307692307693
4678,8,0.0
4678,9,0.0
2458,1,0.0
2458,2,0.06666666666666667
2458,3,0.0
2458,4,0.0625
2458,6,0.0
2458,7,0.0
2458,8,0.0
2458,10,0.0
2756,1,0.0
2756,2,0.05263157894736842
2756,4,0.0
4083,7,0.0
4240,1,0.0
4240,3,0.0
4240,5,0.06666666666666667
78,5,0.07692307692307693
78,7,0.0
574,3,0.05405405405405406
2393,4,0.06896551724137931
2393,5,0.07692307692307693
2393,7,0.08
2393,8,0.06666666666666667
2393,10,0.07407407407407407
2571,1,0.034482758620689655
2571,6,0.06896551724137931
2571,7,0.0625
2816,2,0.0
2816,4,0.0
2816,5,0.0
2816,6,0.0
2816,7,0.0
28,1,0.07692307692307693
28,2,0.0
28,3,0.04
28,5,0.0
28,6,0.07692307692307693
2376,3,0.0625
2376,5,0.0
2376,6,0.0625
2376,7,0.05263157894736842
2590,1,0.0
2590,3,0.0
2590,4,0.0
2590,6,0.0
2590,7,0.0
2773,1,0.0625
2773,3,0.0
2773,5,0.07142857142857142
2773,7,0.0
4597,4,0.04
4597,5,0.07407407407407407
4597,6,0.037037037037037035
24,1,0.058823529411764705
24,2,0.05714285714285714
24,3,0.058823529411764705
24,5,0.08571428571428572
24,7,0.06060606060606061
89,1,0.0
89,5,0.0
89,6,0.06666666666666667
89,7,0.0
446,6,0.058823529411764705
57,1,0.0625
57,3,0.06666666666666667
790,1,0.1
790,2,0.05263157894736842
790,3,0.05
790,4,0.05555555555555555
790,6,0.05555555555555555
2197,1,0.0
2197,3,0.058823529411764705
2197,4,0.0625
2197,5,0.0
2197,7,0.0
2197,8,0.0
2460,2,0.027777777777777776
2930,1,0.09090909090909091
3021,1,0.0
3021,2,0.0
3021,3,0.037037037037037035
3021,4,0.0
3021,7,0.0
4241,1,0.05555555555555555
4241,2,0.05555555555555555
4241,3,0.05555555555555555
4241,4,0.05263157894736842
4241,5,0.0
4241,6,0.05555555555555555
4241,7,0.05555555555555555
4241,8,0.05555555555555555
4636,1,0.0
4636,4,0.08695652173913043
49,6,0.0
558,1,0.04
558,2,0.04
558,3,0.038461538461538464
558,6,0.04
2386,1,0.0
2386,2,0.0
2386,3,0.05555555555555555
2386,4,0.0
2386,5,0.05555555555555555
2800,5,0.08333333333333333
38,9,0.03571428571428571
533,1,0.07142857142857142
533,3,0.0
533,4,0.07142857142857142
533,5,0.09090909090909091
533,7,0.0625
5,1,0.05555555555555555
5,2,0.05405405405405406
5,3,0.0
5,4,0.02702702702702703
451,2,0.08333333333333333
451,8,0.0
787,5,0.09090909090909091
787,7,0.045454545454545456
2203,1,0.034482758620689655
2203,2,0.03333333333333333
2203,5,0.037037037037037035
2203,6,0.07142857142857142
2532,5,0.08333333333333333
2776,3,0.0
2776,4,0.0
26,1,0.0
26,5,0.043478260869565216
26,6,0.08695652173913043
26,7,0.08333333333333333
447,3,0.0
447,5,0.0
25,1,0.05405405405405406
25,4,0.05714285714285714
25,7,0.08333333333333333
434,1,0.0
434,2,0.08695652173913043
572,1,0.0
572,2,0.06666666666666667
572,3,0.06666666666666667
572,8,0.0
572,9,0.0
2255,2,0.08333333333333333
2255,3,0.05263157894736842
2255,4,0.05
2255,5,0.08823529411764706
2255,11,0.08108108108108109
2466,1,0.0
2466,2,0.06060606060606061
2466,3,0.0
2466,4,0.034482758620689655
2466,5,0.03125
2466,6,0.06666666666666667
2466,7,0.06666666666666667
2466,8,0.1
2466,12,0.0
2832,1,0.0
2832,2,0.058823529411764705
2832,4,0.07692307692307693
2832,6,0.0
2832,9,0.0
2832,10,0.07692307692307693
131,1,0.07692307692307693
131,2,0.0
131,4,0.0
131,6,0.07692307692307693
131,7,0.0
81,3,0.09090909090909091
225,1,0.09090909090909091
225,2,0.08695652173913043
225,4,0.08695652173913043
225,7,0.08695652173913043
225,8,0.09090909090909091
75,5,0.0625
1147,1,0.07407407407407407
70,1,0.07692307692307693
70,2,0.08333333333333333
70,3,0.07692307692307693
70,4,0.07692307692307693
70,6,0.07692307692307693
70,7,0.0
70,8,0.0
466,1,0.0
466,2,0.0
466,3,0.0
466,4,0.0
466,5,0.0
466,6,0.0
466,7,0.0
754,1,0.05714285714285714
754,5,0.1
505,10,0.0
138,3,0.0
138,6,0.0
2202,1,0.06666666666666667
2202,4,0.0
2534,2,0.0
2534,3,0.043478260869565216
2534,4,0.08333333333333333
100,1,0.0
100,2,0.0
100,3,0.0
100,4,0.0
100,5,0.0
100,6,0.0
100,7,0.0
8,1,0.06060606060606061
8,2,0.030303030303030304
8,7,0.058823529411764705
139,1,0.0
139,3,0.0
139,5,0.0
4092,1,0.047619047619047616
4092,3,0.047619047619047616
4092,4,0.09523809523809523
4092,6,0.047619047619047616
4092,8,0.0
4092,2,0.09090909090909091
4598,2,0.1
4598,3,0.1
4598,5,0.1
15,1,0.03125
15,4,0.07407407407407407
15,8,0.03571428571428571
536,1,0.07692307692307693
536,2,0.0
536,3,0.045454545454545456
2204,1,0.0
2204,4,0.0
2204,8,0.05555555555555555
2204,9,0.058823529411764705
2204,10,0.05555555555555555
2467,3,0.07692307692307693
2467,5,0.037037037037037035
2467,6,0.07142857142857142
2684,1,0.03225806451612903
2684,4,0.034482758620689655
2684,5,0.07407407407407407
2684,6,0.0
2684,9,0.07142857142857142
3,1,0.06666666666666667
3,5,0.0
3,8,0.07142857142857142
141,1,0.0
141,3,0.045454545454545456
141,6,0.09523809523809523
2198,1,0.09090909090909091
2198,2,0.09090909090909091
2198,3,0.0
2198,7,0.0
2531,2,0.07142857142857142
2775,6,0.0
32,1,0.07692307692307693
32,2,0.07142857142857142
32,3,0.07692307692307693
32,6,0.07692307692307693
32,7,0.0
32,8,0.07142857142857142
124,2,0.08333333333333333
124,4,0.08333333333333333
124,5,0.09090909090909091
124,6,0.08333333333333333
2199,3,0.0
2199,4,0.058823529411764705
2199,6,0.05555555555555555
2533,5,0.06666666666666667
2778,1,0.07407407407407407
2778,2,0.037037037037037035
229,1,0.08333333333333333
229,2,0.08333333333333333
229,3,0.09090909090909091
229,4,0.0
229,5,0.08333333333333333
229,7,0.08333333333333333
534,2,0.0
1085,1,0.037037037037037035
109,6,0.0
109,7,0.0
109,8,0.058823529411764705
335,1,0.0
2300,6,0.0625
2300,7,0.0
2854,3,0.0
2854,4,0.09090909090909091
2854,5,0.0
72,2,0.0
72,3,0.0
72,7,0.0
72,8,0.0
72,9,0.1
72,10,0.0
72,11,0.0
435,1,0.029411764705882353
435,3,0.02564102564102564
435,5,0.0975609756097561
435,6,0.08108108108108109
435,7,0.1
751,1,0.0
751,2,0.0
751,3,0.0
751,4,0.0
751,5,0.0
751,6,0.0
751,7,0.0
751,8,0.0
751,9,0.0
751,10,0.0
751,11,0.0
751,12,0.0
2389,1,0.06666666666666667
2389,2,0.03571428571428571
2389,3,0.06666666666666667
2389,6,0.07692307692307693
2389,8,0.07692307692307693
2389,9,0.03571428571428571
2389,10,0.038461538461538464
2562,1,0.0
2562,2,0.0
2562,3,0.0
2562,4,0.0
2562,5,0.0
2562,6,0.0
2562,7,0.0
80,3,0.058823529411764705
80,6,0.0
80,9,0.05555555555555555
206,1,0.0
206,2,0.0
206,3,0.0
206,4,0.0
206,5,0.0
206,6,0.0
575,1,0.0
575,2,0.03571428571428571
575,3,0.07692307692307693
575,6,0.07142857142857142
575,7,0.06896551724137931
207,7,0.09375
68,8,0.07692307692307693
2195,1,0.0
2686,2,0.06896551724137931
2686,3,0.03225806451612903
2686,5,0.06666666666666667
2686,6,0.06666666666666667
2783,7,0.1
2783,10,0.0
58,5,0.09302325581395349
112,3,0.07142857142857142
112,4,0.07142857142857142
112,8,0.07142857142857142
112,9,0.07142857142857142
112,10,0.06666666666666667
2398,5,0.07692307692307693
2398,6,0.07692307692307693
2398,7,0.07692307692307693
2595,1,0.0
2850,1,0.09090909090909091
2850,3,0.044444444444444446
2850,6,0.046511627906976744
2850,7,0.021739130434782608
2850,8,0.045454545454545456
4088,1,0.07142857142857142
4088,5,0.07142857142857142
4630,2,0.0
4630,3,0.0
4630,4,0.0
21,1,0.0625
21,2,0.0
21,3,0.058823529411764705
136,1,0.058823529411764705
136,6,0.0
87,1,0.0
87,4,0.0
202,1,0.0
202,2,0.0
202,3,0.0
202,4,0.0
202,5,0.037037037037037035
251,1,0.037037037037037035
251,2,0.0
251,3,0.03571428571428571
251,4,0.03571428571428571
251,5,0.0
251,6,0.07142857142857142
251,8,0.07142857142857142
791,6,0.0625
2530,1,0.1
2530,2,0.06666666666666667
2530,6,0.0967741935483871
2530,8,0.06896551724137931
2530,10,0.06666666666666667
2931,6,0.058823529411764705
2931,7,0.058823529411764705
2931,8,0.058823529411764705
9,1,0.06
9,2,0.03773584905660377
9,3,0.0392156862745098
9,4,0.07692307692307693
9,5,0.1
9,6,0.07142857142857142
127,4,0.0
127,5,0.1
127,6,0.1
127,9,0.09523809523809523
2372,2,0.06666666666666667
2372,4,0.06666666666666667
2372,5,0.0
2589,4,0.0
2589,7,0.0
2761,1,0.1
2761,4,0.1
2761,7,0.09090909090909091
2761,8,0.0
50,3,0.09523809523809523
50,6,0.09090909090909091
535,1,0.0
535,3,0.04
535,4,0.08
535,5,0.04
535,7,0.07692307692307693
535,8,0.0
535,6,0.08
29,3,0.0
29,8,0.047619047619047616
137,1,0.0
137,2,0.0
137,5,0.0
137,6,0.0
137,7,0.0
576,5,0.043478260869565216
576,7,0.045454545454545456
4087,6,0.0
4087,7,0.0
4087,8,0.0
4087,9,0.0
4600,4,0.058823529411764705
4600,6,0.058823529411764705
4600,7,0.0
4600,8,0.0
23,2,0.047619047619047616
23,3,0.0
23,4,0.075
23,5,0.05
23,6,0.024390243902439025
23,8,0.04878048780487805
110,1,0.0967741935483871
110,2,0.1
110,3,0.06451612903225806
110,5,0.0967741935483871
110,7,0.03333333333333333
110,8,0.0
110,9,0.1
2295,2,0.1
2484,1,0.05128205128205128
2484,2,0.075
2484,4,0.043478260869565216
2484,7,0.09090909090909091
2855,1,0.08695652173913043
2855,2,0.043478260869565216
2855,3,0.08695652173913043
2855,4,0.043478260869565216
2855,7,0.0
2855,8,0.043478260869565216
22,4,0.0
22,5,0.05263157894736842
22,6,0.05555555555555555
22,7,0.0
577,1,0.06060606060606061
577,3,0.06060606060606061
577,4,0.0
577,5,0.09375
577,6,0.02857142857142857
577,7,0.030303030303030304
577,8,0.03125
1084,6,0.047619047619047616
1084,7,0.0
2370,1,0.1
2370,2,0.0
2370,3,0.0
2370,4,0.034482758620689655
2370,6,0.0
2370,7,0.06896551724137931
2370,8,0.06666666666666667
2765,1,0.09090909090909091
2765,2,0.08333333333333333
2765,3,0.09090909090909091
2765,4,0.08333333333333333
2765,5,0.0
2765,6,0.09090909090909091
2765,7,0.08333333333333333
2765,8,0.0
4089,3,0.0
4089,8,0.0
4677,7,0.08333333333333333
18,4,0.09090909090909091
538,3,0.05555555555555555
538,6,0.05555555555555555
538,7,0.0
538,9,0.0
532,6,0.09523809523809523
532,7,0.0
532,8,0.1
34,3,0.0
34,4,0.0
34,7,0.0
34,9,0.0
129,1,0.1
129,3,0.0
129,4,0.0
129,5,0.09090909090909091
129,7,0.1
129,8,0.09090909090909091
573,1,0.0
573,2,0.0
573,4,0.0
573,5,0.0
573,6,0.0
573,7,0.0
573,8,0.0
573,10,0.05263157894736842
573,11,0.05555555555555555
2298,2,0.038461538461538464
2298,9,0.07692307692307693
2469,2,0.05
77,1,0.08333333333333333
77,2,0.0
77,4,0.04
227,10,0.1
2566,2,0.038461538461538464
2817,1,0.06666666666666667
2817,2,0.0
2817,3,0.0
756,4,0.04
756,5,0.08571428571428572
756,6,0.09090909090909091
757,4,0.08333333333333333
758,2,0.018518518518518517
758,5,0.09090909090909091
758,6,0.07407407407407407
2297,4,0.0
2297,5,0.08
2471,2,0.08333333333333333
2471,5,0.09090909090909091
2471,6,0.0
2831,1,0.0
2831,2,0.0
2831,3,0.0
2831,4,0.0
2831,6,0.0
7,1,0.0
7,2,0.043478260869565216
7,3,0.023809523809523808
7,4,0.047619047619047616
7,5,0.022727272727272728
2403,1,0.0
2403,2,0.0
2403,3,0.0
2403,4,0.0
2403,5,0.0
2403,6,0.0
2568,1,0.08571428571428572
2568,2,0.05405405405405406
2568,3,0.05555555555555555
2568,4,0.08333333333333333
2568,6,0.0
69,5,0.09090909090909091
1087,6,0.05
39,1,0.047619047619047616
39,2,0.09523809523809523
39,3,0.09523809523809523
39,4,0.0
39,5,0.09523809523809523
39,6,0.047619047619047616
39,8,0.047619047619047616
39,9,0.09523809523809523
101,1,0.0
101,2,0.0
101,3,0.0
101,4,0.0
101,5,0.0
101,6,0.0
101,7,0.0
101,8,0.0
101,9,0.0
101,10,0.0
540,3,0.043478260869565216
1061,8,0.034482758620689655
2193,2,0.1
2193,4,0.05263157894736842
2193,5,0.05
2193,6,0.05
2461,1,0.0
2461,2,0.1
2461,6,0.1
142,1,0.0625
142,6,0.0
2774,1,0.043478260869565216
2774,2,0.08333333333333333
2927,5,0.07142857142857142
2987,1,0.058823529411764705
2987,7,0.0625
2987,8,0.0
16,1,0.04
16,3,0.07692307692307693
16,5,0.07692307692307693
74,6,0.0
436,2,0.047619047619047616
436,6,0.09523809523809523
436,7,0.0
2561,4,0.07692307692307693
2561,5,0.07692307692307693
2561,6,0.0
2635,2,0.0
2635,3,0.07692307692307693
2635,5,0.0
2635,6,0.07692307692307693
2635,7,0.07692307692307693
2918,3,0.0
2918,6,0.1
2918,7,0.0
2918,9,0.0
2918,10,0.1
4106,2,0.0625
4106,6,0.0
4106,7,0.0
4628,2,0.05555555555555555
4628,3,0.0
4628,4,0.05555555555555555
4628,5,0.05555555555555555
4628,6,0.0
4628,7,0.05263157894736842
4628,9,0.05263157894736842
13,2,0.0
13,7,0.058823529411764705
786,1,0.0
786,2,0.0
786,3,0.0
786,4,0.0
786,5,0.0
786,6,0.0
786,7,0.0
786,8,0.0
2758,3,0.05263157894736842
253,3,0.1
2356,1,0.09090909090909091
2356,4,0.0
2919,1,0.0
2919,2,0.0
2919,6,0.0
4107,2,0.09523809523809523
4107,3,0.045454545454545456
4107,4,0.043478260869565216
4107,7,0.047619047619047616
88,1,0.06896551724137931
88,2,0.06896551724137931
88,3,0.06896551724137931
88,4,0.07142857142857142
88,5,0.0
88,7,0.0
204,1,0.075
204,2,0.05
204,3,0.047619047619047616
204,4,0.0
204,5,0.0
204,6,0.05
204,7,0.0
537,5,0.05357142857142857
2205,1,0.0
2205,2,0.0
2205,3,0.0
2205,4,0.03125
2205,5,0.0
2205,6,0.030303030303030304
2205,7,0.0625
2470,1,0.0
2470,2,0.03571428571428571
2470,3,0.037037037037037035
2470,4,0.0
2470,5,0.03571428571428571
2470,6,0.0
2470,7,0.07407407407407407
2685,1,0.0
2685,2,0.0
2685,3,0.0
2685,4,0.0
2685,5,0.0
2685,6,0.0
2685,7,0.0
2685,8,0.0
2685,9,0.0
11,1,0.046511627906976744
11,2,0.02127659574468085
11,8,0.022727272727272728
83,1,0.1
83,5,0.0
83,7,0.0
457,2,0.08695652173913043
457,4,0.0851063829787234
457,5,0.024390243902439025
457,7,0.06818181818181818
2634,4,0.07142857142857142
2634,5,0.07692307692307693
2801,1,0.0625
10,6,0.0
79,2,0.03225806451612903
458,4,0.041666666666666664
458,5,0.08333333333333333
458,6,0.08333333333333333
458,7,0.08333333333333333
2358,4,0.047619047619047616
2633,2,0.07692307692307693
2633,3,0.08333333333333333
2803,3,0.09090909090909091
12,2,0.05
12,3,0.0
12,4,0.0
12,8,0.0
12,9,0.0
12,10,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
792,7,0.047619047619047616
792,8,0.09090909090909091
792,9,0.1
792,10,0.047619047619047616
2253,3,0.1
2253,4,0.0
2253,5,0.1
2253,6,0.0
2253,7,0.0
560,6,0.1
2299,1,0.02857142857142857
2299,2,0.08333333333333333
2299,3,0.05128205128205128
2299,5,0.05263157894736842
2299,6,0.02702702702702703
2299,8,0.027777777777777776
2585,5,0.08333333333333333
2254,1,0.06666666666666667
2254,2,0.0
2254,3,0.0
2468,2,0.0
2468,11,0.0
2468,12,0.0
2929,1,0.0
2929,5,0.0
2929,6,0.0
2929,7,0.0
2196,1,0.08695652173913043
2196,2,0.041666666666666664
2196,4,0.04
2424,1,0.06976744186046512
2424,8,0.08163265306122448
2374,2,0.03125
2374,3,0.0
2374,4,0.0
2374,5,0.0
2374,6,0.0
2374,7,0.08333333333333333
2374,8,0.08333333333333333
2374,9,0.0
2374,10,0.07692307692307693
2588,2,0.09090909090909091
2588,4,0.0
2588,8,0.0
2853,1,0.09090909090909091
2853,3,0.07692307692307693
2853,5,0.08333333333333333
2853,6,0.07692307692307693
4109,2,0.06666666666666667
2396,1,0.0
2396,2,0.045454545454545456
2396,3,0.09523809523809523
2396,4,0.041666666666666664
2396,5,0.0
2396,6,0.0
2396,7,0.0
2396,8,0.08333333333333333
2396,9,0.0
2563,2,0.0
2563,3,0.05555555555555555
2563,4,0.05263157894736842
2563,5,0.05555555555555555
2563,8,0.05555555555555555
2563,10,0.05555555555555555
2563,11,0.05263157894736842
2818,2,0.1
2818,6,0.0
2818,8,0.1
2252,4,0.07407407407407407
2252,5,0.0
2252,6,0.0
2252,7,0.03571428571428571
2755,3,0.0
2755,5,0.07692307692307693
2755,6,0.06666666666666667
4085,4,0.05263157894736842
4635,1,0.0
2201,1,0.09375
2201,2,0.05714285714285714
2201,3,0.030303030303030304
2201,5,0.0
2472,1,0.09375
2472,2,0.0967741935483871
2696,1,0.027777777777777776
2696,2,0.05555555555555555
2696,3,0.08823529411764706
2696,5,0.02857142857142857
2200,1,0.058823529411764705
2200,4,0.058823529411764705
2535,1,0.0
2535,2,0.0625
2535,3,0.0
2535,4,0.0
2777,2,0.0625
2777,4,0.058823529411764705
2777,6,0.058823529411764705
2395,2,0.07407407407407407
2395,4,0.0
2395,7,0.07142857142857142
2786,1,0.0
2786,3,0.0
2786,9,0.08333333333333333
4108,2,0.05714285714285714
4108,3,0.08108108108108109
4108,5,0.027777777777777776
4108,6,0.0
4108,7,0.02857142857142857
4108,8,0.058823529411764705
4108,9,0.02631578947368421
4243,2,0.07142857142857142
4243,3,0.0
4243,4,0.07407407407407407
4243,5,0.06896551724137931
4631,4,0.0
4631,6,0.09090909090909091
4631,7,0.0
4631,8,0.09090909090909091
4631,9,0.0
2192,2,0.037037037037037035
2192,8,0.03571428571428571
2192,9,0.0
2459,1,0.05
2459,2,0.0
2459,3,0.0
2459,4,0.0
2459,5,0.043478260869565216
2459,7,0.047619047619047616
2459,8,0.0
2459,9,0.0
2759,1,0.0
2759,2,0.0
2759,4,0.0
2759,5,0.0
2759,6,0.0
4084,3,0.09090909090909091
4084,8,0.1
4629,2,0.06666666666666667
4629,3,0.07142857142857142
4629,6,0.06666666666666667
4629,8,0.0
41,2,0.09375
41,3,0.09090909090909091
41,4,0.09090909090909091
41,5,0.03125
41,6,0.09090909090909091
767,1,0.0
767,2,0.0
767,3,0.0
767,4,0.0
767,5,0.0
767,6,0.0
2155,2,0.058823529411764705
2155,6,0.0
2922,1,0.07692307692307693
2922,2,0.0
